0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Thomas_Sabo.jpg HTTP/1.1" 200 36136
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/t-shirt.jpg HTTP/1.1" 200 29012
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/Tuyau-extensible.jpg HTTP/1.1" 200 37533
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/LOreal-Spray-Protection-Solaire.jpg HTTP/1.1" 200 29582
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:09 +0200] "GET /Projet_jee/images/vichy.jpg HTTP/1.1" 200 140490
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/ HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/nikeBallon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/boseecouteurs.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/braceletyoga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/inc/design.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/FIFA_18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/bracelet-swarovski-femme-genial-women-archives-frenzystyle-of-bracelet-swarovski-femme-640x480.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/adidasGants.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/blender-bottle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/Bosch_Tondeuse_Gazon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/cordeasauter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/aspirateur.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:21 +0200] "GET /Projet_jee/images/Asus_Zenbook_Ultrabook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/bracelet-en-cuir-pour-homme.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/bureau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Call_of_Duty.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Casque_Gaming.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/chaise-longue-qt-en-batyline-royal-botania.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/chemise.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/enceinte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Dell_Inspiron_Ultrabook_tactile_convertible.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/fauteuil.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Dell_Inspiron_G3_15-3579%20PC_Portable_Gamer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/tronconneuse-electrique.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Florida-Herbal-Pharmacy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Fossil-Bracelet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/game.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/Hamac_Camping.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/hoodie.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/HP_Pavilion.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/HUAWEI_MateBook_D.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/huaweip20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/iphone_6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:22 +0200] "GET /Projet_jee/images/iphone_8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/jeans.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/lave_linge.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/legging.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/lit_superpose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Logitech_Webcam_HD_Pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/lumia-800.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/matelas.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Microsoft_Surface_Laptop_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Mysterium.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/oppo-a73.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/pharmacy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/pantalon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/poignee-appui-musculation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/protege-tibias.jpg HTTP/1.1" 304 -
